Rank,Mark,Wind,Name,Date of Birth,Nationality,Position,Venue,Event Date,Score
1,9.82,-0.2,MauriceGREENE,23JUL1974,1,"CommonwealthStadium,Edmonton(CAN)",05AUG2001,1270,2
2,9.88,+2.0,AtoBOLDON,30DEC1973,1,Oslo(NOR),13JUL2001,1248,3
3,9.94,-0.2,BernardWILLIAMS,19JAN1978,2,"CommonwealthStadium,Edmonton(CAN)",05AUG2001,1228,4
4,9.98,+0.6,FrancisOBIKWELU,22NOV1978,1,"Olympiastadion,Berlin(GER)",31AUG2001,1213,5
5,9.99,-0.2,DwainCHAMBERS,05APR1978,4,"CommonwealthStadium,Edmonton(CAN)",05AUG2001,1211,6
6,10.02,+2.0,NobuharuASAHARA,21JUN1972,3,Oslo(NOR),13JUL2001,1199,7
7,10.04,-0.2,KimCOLLINS,05APR1976,1,GuatemalaCity(GUA),20JUL2001,1194,7
7,10.04,+0.4,AzizZAKARI,02SEP1976,1,Linz(AUT),20AUG2001,1193,9
9,10.05,+1.4,LeonardSCOTT,19JAN1980,1h3,"Eugene,OR(USA)",31MAY2001,1189,10
10,10.06,+1.8,FrankFREDERICKS,02OCT1967,2,Rieti(ITA),02SEP2001,1186,11
11,10.07,0.0,ChristopherWILLIAMS,15MAR1972,1,Kingston(JAM),22JUN2001,1182,11
11,10.07,+0.1,DejiALIU,22NOV1975,2f2,"Pontaise,Lausanne(SUI)",04JUL2001,1182,13
13,10.08,0.0,JustinGATLIN,10FEB1982,1,"Eugene,OR(USA)",02JUN2001,1179,14
14,10.09,+1.1,ShawnCRAWFORD,14JAN1978,h,"Eugene,OR(USA)",21JUN2001,1176,14
14,10.09,+0.5,JonDRUMMOND,09SEP1968,2,"StadeLouisII,Monaco(MON)",20JUL2001,1176,16
16,10.10,+1.6,MarcusBRUNSON,24APR1978,1h2,"Eugene,OR(USA)",31MAY2001,1172,16
16,10.10,+0.1,BrianLEWIS,05DEC1974,3f2,"Pontaise,Lausanne(SUI)",04JUL2001,1172,16
16,10.10,+0.6,CurtisJOHNSON,24DEC1973,2,Stockholm(SWE),17JUL2001,1172,19
19,10.11,+1.9,MattSHIRVINGTON,25OCT1978,1,Perth(AUS),04MAR2001,1169,19
19,10.11,+1.5,LindelFRATER,13NOV1977,1,"Fresno,CA(USA)",19MAY2001,1169,19
19,10.11,+1.1,DennisMITCHELL,20FEB1966,h,"Eugene,OR(USA)",21JUN2001,1169,19
19,10.11,+0.1,BrunySURIN,12JUL1967,4f2,"Pontaise,Lausanne(SUI)",04JUL2001,1169,19
19,10.11,-0.6,FreddyMAYOLA,01NOV1977,1,Getafe(ESP),10JUL2001,1172,19
19,10.11,-0.2,ChristianMALCOLM,03JUN1979,6,"CommonwealthStadium,Edmonton(CAN)",05AUG2001,1170,19
19,10.11,+0.6,UchennaEMEDOLU,17SEP1976,3,"Olympiastadion,Berlin(GER)",31AUG2001,1169,26
26,10.12,-1.3,LEWIS-FRANCIS,04SEP1982,1,"Tallahassee,FL(USA)",14APR2001,1172,26
26,10.12,+1.1,PatrickJARRETT,02OCT1977,1,"Philadelphia,PA(USA)",28APR2001,1165,28
28,10.13,+1.9,KennyBROKENBURR,29OCT1968,2,Perth(AUS),04MAR2001,1162,28
28,10.13,+0.4,LlewellynBREDWOOD,30APR1976,2sf1,Kingston(JAM),22JUN2001,1162,28
28,10.13,+0.7,St&#233;phanBUCKLAND,12JAN1977,1,Ottawa(CAN),21JUL2001,1162,31
31,10.14,0.0,TimHARDEN,27JAN1974,1,"Tempe,AZ(USA)",14APR2001,1159,31
31,10.14,+2.0,AristotelisGAVELAS,10DEC1978,h,Tunis(TUN),11SEP2001,1159,33
33,10.15,+0.4,MorneNAGEL,23MAR1978,1,Pretoria(RSA),23MAR2001,1155,33
33,10.15,+1.4,KonstantinosKENTERIS,11JUL1973,2,Bremen(GER),23JUN2001,1155,35
35,10.16,+0.7,GeraldWILLIAMS,24FEB1978,2,"Walnut,CA(USA)",22APR2001,1152,35
35,10.16,+1.6,DarvisPATTON,04DEC1977,1,"Arlington,TX(USA)",04MAY2001,1152,35
35,10.16,+1.3,DarrenCAMPBELL,12SEP1973,2,"Austin,TX(USA)",05MAY2001,1152,38
38,10.17,+1.5,EricPacomeN&#39;DRI,24MAR1978,1,"Austin,TX(USA)",07APR2001,1148,38
38,10.17,+2.0,JoshuaNORMAN,26JUL1980,1,"Sacramento,CA(USA)",18MAY2001,1148,38
38,10.17,+1.4,SeanLAMBERT,16AUG1982,3h3,"Eugene,OR(USA)",31MAY2001,1148,38
38,10.17,+1.6,Andr&#233;DomingosDASILVA,26NOV1972,1,Lisboa(POR),16JUN2001,1148,38
38,10.17,+1.0,Fr&#233;d&#233;ricKRANTZ,13SEP1978,1,St-Etienne(FRA),30JUN2001,1148,43
43,10.18,+1.2,JeffreyFOURTH,19JUN1979,1,"Durham,NC(USA)",07APR2001,1145,43
43,10.18,+0.7,MickeyGRIMES,10OCT1976,h,"Eugene,OR(USA)",21JUN2001,1145,43
43,10.18,+1.0,AntoineBOUSSOMBO,18MAY1968,2,St-Etienne(FRA),30JUN2001,1145,46
46,10.19,+1.7,PierreBROWNE,14JAN1980,1,"Austin,TX(USA)",07APR2001,1142,46
46,10.19,+0.7,JeffLAYNES,03OCT1970,3,"Walnut,CA(USA)",22APR2001,1142,46
46,10.19,0.0,DwightTHOMAS,23SEP1980,4,Kingston(JAM),22JUN2001,1142,46
46,10.19,+1.6,OumarLOUM,31DEC1973,1h1,St-Etienne(FRA),30JUN2001,1142,46
46,10.19,+0.2,TroyDOUGLAS,30NOV1962,3,"Letzigrund,Z&#252;rich(SUI)",17AUG2001,1142,51
